"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"29",950,"C","Number of transactions","101","0","","202223May","May 2022-23","512","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"30",0.9,"D","Tax due (£ million)","102","0","","202223May","May 2022-23","512","202223Q1","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"31",747,"V","Property value taxed (£ million)","103","0","","202223Q1","April to June 2022-23","510","202223","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"32",2380,"C","Number of transactions","101","0","","202223Q1","April to June 2022-23","510","202223","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"33",4.3,"D","Tax due (£ million)","102","0","","202223May","May 2022-23","512","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"34",246,"V","Property value taxed (£ million)","103","0","","202223May","May 2022-23","512","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"35",790,"C","Number of transactions","101","0","","202223May","May 2022-23","512","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"36",160,"C","Number of transactions","101","0","","202223May","May 2022-23","512","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"37",2.9,"D","Tax due (£ million)","102","0","","202223May","May 2022-23","512","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"38",51,"V","Property value taxed (£ million)","103","0","","202223May","May 2022-23","512","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"39",7.8,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"40",308,"V","Property value taxed (£ million)","103","0","","202223Jun","June 2022-23","513","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"41",980,"C","Number of transactions","101","0","","202223Jun","June 2022-23","513","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"42",1,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"43",2.3,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"44",2,"D","Tax due (£ million)","102","0","","202223May","May 2022-23","512","202223Q1","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"45",4.5,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"46",246,"V","Property value taxed (£ million)","103","0","","202223Jun","June 2022-23","513","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"47",780,"C","Number of transactions","101","0","","202223Jun","June 2022-23","513","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"48",200,"C","Number of transactions","101","0","","202223Jun","June 2022-23","513","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"49",3.3,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"50",62,"V","Property value taxed (£ million)","103","0","","202223Jun","June 2022-23","513","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
