"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"1012",30,"C","Number of transactions","101","0","","202122May","May 2021-22","412","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1013",0.3,"D","Tax due (£ million)","102","0","","202122May","May 2021-22","412","202122Q1","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1014",0.4,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1015",0.3,"D","Tax due (£ million)","102","0","","202122May","May 2021-22","412","202122Q1","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1016",1.1,"D","Tax due (£ million)","102","0","","202122May","May 2021-22","412","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1017",22,"V","Property value taxed (£ million)","103","0","","202122May","May 2021-22","412","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1018",20,"C","Number of transactions","101","0","","202122May","May 2021-22","412","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1019",10,"C","Number of transactions","101","0","","202122May","May 2021-22","412","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1020",10,"C","Number of transactions","101","0","","202122Mar","March 2021-22","443","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1021",0.7,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1022",11,"V","Property value taxed (£ million)","103","0","","202122Mar","March 2021-22","443","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1023",1.9,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1024",33,"V","Property value taxed (£ million)","103","0","","202122Mar","March 2021-22","443","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1025",40,"C","Number of transactions","101","0","","202122Mar","March 2021-22","443","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1026",70,"C","Number of transactions","101","0","","202122Jun","June 2021-22","413","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1027",0,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1028",0.3,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1029",1.1,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1030",22,"V","Property value taxed (£ million)","103","0","","202122Mar","March 2021-22","443","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1031",20,"C","Number of transactions","101","0","","202122Mar","March 2021-22","443","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1032",70,"C","Number of transactions","101","0","","202122Jun","June 2021-22","413","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1033",0,"C","Number of transactions","101","0","","202122Jun","June 2021-22","413","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1034",0,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1035",0,"V","Property value taxed (£ million)","103","0","","202122Jun","June 2021-22","413","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1036",3.3,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1037",63,"V","Property value taxed (£ million)","103","0","","202122Jun","June 2021-22","413","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1038",30,"V","Property value taxed (£ million)","103","0","","202122Jul","July 2021-22","421","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1039",30,"C","Number of transactions","101","0","","202122Jul","July 2021-22","421","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1040",0.7,"D","Tax due (£ million)","102","0","","202122Jul","July 2021-22","421","202122Q2","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1041",0,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1042",2.9,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1043",59,"V","Property value taxed (£ million)","103","0","","202122Jun","June 2021-22","413","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1044",17,"V","Property value taxed (£ million)","103","0","","202122Jul","July 2021-22","421","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1045",20,"C","Number of transactions","101","0","","202122Jul","July 2021-22","421","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1046",10,"C","Number of transactions","101","0","","202122Jul","July 2021-22","421","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1047",1.3,"D","Tax due (£ million)","102","0","","202122Jul","July 2021-22","421","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1048",13,"V","Property value taxed (£ million)","103","0","","202122Jul","July 2021-22","421","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1049",2.1,"D","Tax due (£ million)","102","0","","202122Jul","July 2021-22","421","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1050",3,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1051",48,"V","Property value taxed (£ million)","103","0","","202122Jan","January 2021-22","441","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1052",50,"C","Number of transactions","101","0","","202122Jan","January 2021-22","441","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1053",0.7,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1054",0.5,"D","Tax due (£ million)","102","0","","202122Jul","July 2021-22","421","202122Q2","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1055",0.8,"D","Tax due (£ million)","102","0","","202122Jul","July 2021-22","421","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1056",1.8,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1057",34,"V","Property value taxed (£ million)","103","0","","202122Jan","January 2021-22","441","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1058",40,"C","Number of transactions","101","0","","202122Jan","January 2021-22","441","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1059",10,"C","Number of transactions","101","0","","202122Jan","January 2021-22","441","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1060",1.1,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1061",14,"V","Property value taxed (£ million)","103","0","","202122Jan","January 2021-22","441","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1062",30,"C","Number of transactions","101","0","","202122Feb","February 2021-22","442","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1063",2.1,"D","Tax due (£ million)","102","0","","202122Feb","February 2021-22","442","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1064",31,"V","Property value taxed (£ million)","103","0","","202122Feb","February 2021-22","442","202122Q4","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1065",0.5,"D","Tax due (£ million)","102","0","","202122Feb","February 2021-22","442","202122Q4","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1066",0.4,"D","Tax due (£ million)","102","0","","202122Feb","February 2021-22","442","202122Q4","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1067",0.5,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1068",20,"C","Number of transactions","101","0","","202122Feb","February 2021-22","442","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1069",1.2,"D","Tax due (£ million)","102","0","","202122Feb","February 2021-22","442","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1070",22,"V","Property value taxed (£ million)","103","0","","202122Feb","February 2021-22","442","202122Q4","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1071",9,"V","Property value taxed (£ million)","103","0","","202122Feb","February 2021-22","442","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1072",10,"C","Number of transactions","101","0","","202122Feb","February 2021-22","442","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1073",0.8,"D","Tax due (£ million)","102","0","","202122Feb","February 2021-22","442","202122Q4","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1074",13,"V","Property value taxed (£ million)","103","0","","202122Dec","December 2021-22","433","202122Q3","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1075",3.2,"D","Tax due (£ million)","102","0","","202122Dec","December 2021-22","433","202122Q3","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1076",52,"V","Property value taxed (£ million)","103","0","","202122Dec","December 2021-22","433","202122Q3","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1077",60,"C","Number of transactions","101","0","","202122Dec","December 2021-22","433","202122Q3","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1078",0.6,"D","Tax due (£ million)","102","0","","202122Dec","December 2021-22","433","202122Q3","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1079",0.5,"D","Tax due (£ million)","102","0","","202122Dec","December 2021-22","433","202122Q3","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1080",0.4,"D","Tax due (£ million)","102","0","","202122Aug","August 2021-22","422","202122Q2","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1081",2.1,"D","Tax due (£ million)","102","0","","202122Dec","December 2021-22","433","202122Q3","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1082",39,"V","Property value taxed (£ million)","103","0","","202122Dec","December 2021-22","433","202122Q3","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1083",40,"C","Number of transactions","101","0","","202122Dec","December 2021-22","433","202122Q3","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1084",10,"C","Number of transactions","101","0","","202122Dec","December 2021-22","433","202122Q3","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1085",1.1,"D","Tax due (£ million)","102","0","","202122Dec","December 2021-22","433","202122Q3","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1086",10,"C","Number of transactions","101","0","","202122Aug","August 2021-22","422","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1087",0.7,"D","Tax due (£ million)","102","0","","202122Aug","August 2021-22","422","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1088",8,"V","Property value taxed (£ million)","103","0","","202122Aug","August 2021-22","422","202122Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1089",2.1,"D","Tax due (£ million)","102","0","","202122Aug","August 2021-22","422","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1090",33,"V","Property value taxed (£ million)","103","0","","202122Aug","August 2021-22","422","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1091",30,"C","Number of transactions","101","0","","202122Aug","August 2021-22","422","202122Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1092",30,"C","Number of transactions","101","0","","202122Apr","April 2021-22","411","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1093",0.4,"D","Tax due (£ million)","102","0","","202122Apr","April 2021-22","411","202122Q1","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1094",0.3,"D","Tax due (£ million)","102","0","","202122Aug","August 2021-22","422","202122Q2","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1095",1.4,"D","Tax due (£ million)","102","0","","202122Aug","August 2021-22","422","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1096",25,"V","Property value taxed (£ million)","103","0","","202122Aug","August 2021-22","422","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1097",30,"C","Number of transactions","101","0","","202122Aug","August 2021-22","422","202122Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1098",20,"C","Number of transactions","101","0","","202122Apr","April 2021-22","411","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1099",10,"C","Number of transactions","101","0","","202122Apr","April 2021-22","411","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1100",0.7,"D","Tax due (£ million)","102","0","","202122Apr","April 2021-22","411","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1101",7,"V","Property value taxed (£ million)","103","0","","202122Apr","April 2021-22","411","202122Q1","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1102",1.6,"D","Tax due (£ million)","102","0","","202122Apr","April 2021-22","411","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1103",28,"V","Property value taxed (£ million)","103","0","","202122Apr","April 2021-22","411","202122Q1","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1104",487,"V","Property value taxed (£ million)","103","0","","202122","2021-22","400","","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1105",520,"C","Number of transactions","101","0","","202122","2021-22","400","","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1106",5.6,"D","Tax due (£ million)","102","0","","202122","2021-22","400","","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1107",0.3,"D","Tax due (£ million)","102","0","","202122Apr","April 2021-22","411","202122Q1","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1108",0.9,"D","Tax due (£ million)","102","0","","202122Apr","April 2021-22","411","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1109",21,"V","Property value taxed (£ million)","103","0","","202122Apr","April 2021-22","411","202122Q1","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1110",368,"V","Property value taxed (£ million)","103","0","","202122","2021-22","400","","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1111",400,"C","Number of transactions","101","0","","202122","2021-22","400","","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1112",120,"C","Number of transactions","101","0","","202122","2021-22","400","","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1113",10,"D","Tax due (£ million)","102","0","","202122","2021-22","400","","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1114",119,"V","Property value taxed (£ million)","103","0","","202122","2021-22","400","","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1115",29.4,"D","Tax due (£ million)","102","0","","202122","2021-22","400","","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1116",10,"C","Number of transactions","101","0","","202021Sep","September 2020-21","323","202021Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1117",0.5,"D","Tax due (£ million)","102","0","","202021Sep","September 2020-21","323","202021Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1118",10,"V","Property value taxed (£ million)","103","0","","202021Sep","September 2020-21","323","202021Q2","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1119",0,"D","Tax due (£ million)","102","0","","202021Sep","September 2020-21","323","202021Q2","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1120",4.5,"D","Tax due (£ million)","102","0","","202122","2021-22","400","","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1121",19.3,"D","Tax due (£ million)","102","0","","202122","2021-22","400","","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1122",10,"C","Number of transactions","101","0","","202021Sep","September 2020-21","323","202021Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1123",0.2,"D","Tax due (£ million)","102","0","","202021Sep","September 2020-21","323","202021Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1124",7,"V","Property value taxed (£ million)","103","0","","202021Sep","September 2020-21","323","202021Q2","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1125",0,"C","Number of transactions","101","0","","202021Sep","September 2020-21","323","202021Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1126",0,"D","Tax due (£ million)","102","0","","202021Sep","September 2020-21","323","202021Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1127",0,"V","Property value taxed (£ million)","103","0","","202021Sep","September 2020-21","323","202021Q2","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1128",29,"V","Property value taxed (£ million)","103","0","","202021Q4","January to March 2020-21","340","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1129",5.7,"D","Tax due (£ million)","102","0","","202021Q4","January to March 2020-21","340","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1130",110,"V","Property value taxed (£ million)","103","0","","202021Q4","January to March 2020-21","340","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1131",120,"C","Number of transactions","101","0","","202021Q4","January to March 2020-21","340","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1132",0.9,"D","Tax due (£ million)","102","0","","202021Q4","January to March 2020-21","340","202021","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1133",0,"D","Tax due (£ million)","102","0","","202021Sep","September 2020-21","323","202021Q2","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1134",1,"D","Tax due (£ million)","102","0","","202021Q4","January to March 2020-21","340","202021","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1135",3.8,"D","Tax due (£ million)","102","0","","202021Q4","January to March 2020-21","340","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1136",81,"V","Property value taxed (£ million)","103","0","","202021Q4","January to March 2020-21","340","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1137",90,"C","Number of transactions","101","0","","202021Q4","January to March 2020-21","340","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1138",30,"C","Number of transactions","101","0","","202021Q4","January to March 2020-21","340","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1139",1.9,"D","Tax due (£ million)","102","0","","202021Q4","January to March 2020-21","340","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1140",2.7,"D","Tax due (£ million)","102","0","","202021Q3","October to December 2020-21","330","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1141",40,"V","Property value taxed (£ million)","103","0","","202021Q3","October to December 2020-21","330","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1142",5.5,"D","Tax due (£ million)","102","0","","202021Q3","October to December 2020-21","330","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1143",100,"V","Property value taxed (£ million)","103","0","","202021Q3","October to December 2020-21","330","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1144",110,"C","Number of transactions","101","0","","202021Q3","October to December 2020-21","330","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1145",1.6,"D","Tax due (£ million)","102","0","","202021Q3","October to December 2020-21","330","202021","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1146",0.7,"D","Tax due (£ million)","102","0","","202021Q2","July to September 2020-21","320","202021","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1147",1.1,"D","Tax due (£ million)","102","0","","202021Q3","October to December 2020-21","330","202021","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1148",2.9,"D","Tax due (£ million)","102","0","","202021Q3","October to December 2020-21","330","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1149",61,"V","Property value taxed (£ million)","103","0","","202021Q3","October to December 2020-21","330","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1150",70,"C","Number of transactions","101","0","","202021Q3","October to December 2020-21","330","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1151",40,"C","Number of transactions","101","0","","202021Q3","October to December 2020-21","330","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1152",20,"C","Number of transactions","101","0","","202021Q2","July to September 2020-21","320","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1153",1.1,"D","Tax due (£ million)","102","0","","202021Q2","July to September 2020-21","320","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1154",16,"V","Property value taxed (£ million)","103","0","","202021Q2","July to September 2020-21","320","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1155",2.4,"D","Tax due (£ million)","102","0","","202021Q2","July to September 2020-21","320","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1156",44,"V","Property value taxed (£ million)","103","0","","202021Q2","July to September 2020-21","320","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1157",50,"C","Number of transactions","101","0","","202021Q2","July to September 2020-21","320","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1158",30,"C","Number of transactions","101","0","","202021Q1","April to June 2020-21","310","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1159",0.6,"D","Tax due (£ million)","102","0","","202021Q1","April to June 2020-21","310","202021","","MR","Revenue from main rate","121","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1160",0.4,"D","Tax due (£ million)","102","0","","202021Q2","July to September 2020-21","320","202021","","HR","Revenue from higher rate","122","RH","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1161",1.3,"D","Tax due (£ million)","102","0","","202021Q2","July to September 2020-21","320","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1162",28,"V","Property value taxed (£ million)","103","0","","202021Q2","July to September 2020-21","320","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1163",30,"C","Number of transactions","101","0","","202021Q2","July to September 2020-21","320","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1164",10,"C","Number of transactions","101","0","","202021Q1","April to June 2020-21","310","202021","","RS","Main rate residential","110","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1165",10,"C","Number of transactions","101","0","","202021Q1","April to June 2020-21","310","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1166",1,"D","Tax due (£ million)","102","0","","202021Q1","April to June 2020-21","310","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1167",14,"V","Property value taxed (£ million)","103","0","","202021Q1","April to June 2020-21","310","202021","","RH","Higher rates residential","120","RE","","A05","Residential £750,001 to £1.5m","105","A99","",""
"1168",1.6,"D","Tax due (£ million)","102","0","","202021Q1","April to June 2020-21","310","202021","","RE","Residential","100","TO","","A05","Residential £750,001 to £1.5m","105","A99","",""
