transactionTypeCode,transactionTypeDescription,taxBracketHigh,taxRate,fiscalYearEnding,yearDescription,weight,inYearCount
RH,Residential Higher,180000,0.04,2022,2021-22,0.25,1
RH,Residential Higher,250000,0.075,2022,2021-22,0.25,1
RH,Residential Higher,400000,0.09,2022,2021-22,0.25,1
RH,Residential Higher,750000,0.115,2022,2021-22,0.25,1
RH,Residential Higher,1500000,0.14,2022,2021-22,0.25,1
RH,Residential Higher,Inf,0.16,2022,2021-22,0.25,1
NRP,Non-residential premium,225000,0,2022,2021-22,0.25,1
NRP,Non-residential premium,250000,0.01,2022,2021-22,0.25,1
NRP,Non-residential premium,1000000,0.05,2022,2021-22,0.25,1
NRP,Non-residential premium,Inf,0.06,2022,2021-22,0.25,1
NRN,Non-residential rental,225000,0,2022,2021-22,0.25,1
NRN,Non-residential rental,2000000,0.01,2022,2021-22,0.25,1
NRN,Non-residential rental,Inf,0.02,2022,2021-22,0.25,1
,,,,,,,
RM,Residential Main,180000,0,2022,2021-22,0.75,2
RM,Residential Main,250000,0.035,2022,2021-22,0.75,2
RM,Residential Main,400000,0.05,2022,2021-22,0.75,2
RM,Residential Main,750000,0.075,2022,2021-22,0.75,2
RM,Residential Main,1500000,0.1,2022,2021-22,0.75,2
RM,Residential Main,Inf,0.12,2022,2021-22,0.75,2
RH,Residential Higher,180000,0.04,2022,2021-22,0.75,2
RH,Residential Higher,250000,0.075,2022,2021-22,0.75,2
RH,Residential Higher,400000,0.09,2022,2021-22,0.75,2
RH,Residential Higher,750000,0.115,2022,2021-22,0.75,2
RH,Residential Higher,1500000,0.14,2022,2021-22,0.75,2
RH,Residential Higher,Inf,0.16,2022,2021-22,0.75,2
NRP,Non-residential premium,225000,0,2022,2021-22,0.75,2
NRP,Non-residential premium,250000,0.01,2022,2021-22,0.75,2
NRP,Non-residential premium,1000000,0.05,2022,2021-22,0.75,2
NRP,Non-residential premium,Inf,0.06,2022,2021-22,0.75,2
NRN,Non-residential rental,225000,0,2022,2021-22,0.75,2
NRN,Non-residential rental,2000000,0.01,2022,2021-22,0.75,2
NRN,Non-residential rental,Inf,0.02,2022,2021-22,0.75,2
,,,,,,,
RM,Residential Main,180000,0,2023,2022-23,0.5,1
RM,Residential Main,250000,0.035,2023,2022-23,0.5,1
RM,Residential Main,400000,0.05,2023,2022-23,0.5,1
RM,Residential Main,750000,0.075,2023,2022-23,0.5,1
RM,Residential Main,1500000,0.1,2023,2022-23,0.5,1
RM,Residential Main,Inf,0.12,2023,2022-23,0.5,1
RH,Residential Higher,180000,0.04,2023,2022-23,0.5,1
RH,Residential Higher,250000,0.075,2023,2022-23,0.5,1
RH,Residential Higher,400000,0.09,2023,2022-23,0.5,1
RH,Residential Higher,750000,0.115,2023,2022-23,0.5,1
RH,Residential Higher,1500000,0.14,2023,2022-23,0.5,1
RH,Residential Higher,Inf,0.16,2023,2022-23,0.5,1
NRP,Non-residential premium,225000,0,2023,2022-23,0.5,1
NRP,Non-residential premium,250000,0.01,2023,2022-23,0.5,1
NRP,Non-residential premium,1000000,0.05,2023,2022-23,0.5,1
NRP,Non-residential premium,Inf,0.06,2023,2022-23,0.5,1
NRN,Non-residential rental,225000,0,2023,2022-23,0.5,1
NRN,Non-residential rental,2000000,0.01,2023,2022-23,0.5,1
NRN,Non-residential rental,Inf,0.02,2023,2022-23,0.5,1
,,,,,,,
RM,Residential Main,225000,0,2023,2022-23,0.5,2
RM,Residential Main,250000,0.06,2023,2022-23,0.5,2
RM,Residential Main,400000,0.06,2023,2022-23,0.5,2
RM,Residential Main,750000,0.075,2023,2022-23,0.5,2
RM,Residential Main,1500000,0.1,2023,2022-23,0.5,2
RM,Residential Main,Inf,0.12,2023,2022-23,0.5,2
RH,Residential Higher,180000,0.04,2023,2022-23,0.5,2
RH,Residential Higher,250000,0.075,2023,2022-23,0.5,2
RH,Residential Higher,400000,0.09,2023,2022-23,0.5,2
RH,Residential Higher,750000,0.115,2023,2022-23,0.5,2
RH,Residential Higher,1500000,0.14,2023,2022-23,0.5,2
RH,Residential Higher,Inf,0.16,2023,2022-23,0.5,2
NRP,Non-residential premium,225000,0,2023,2022-23,0.5,2
NRP,Non-residential premium,250000,0.01,2023,2022-23,0.5,2
NRP,Non-residential premium,1000000,0.05,2023,2022-23,0.5,2
NRP,Non-residential premium,Inf,0.06,2023,2022-23,0.5,2
NRN,Non-residential rental,225000,0,2023,2022-23,0.5,2
NRN,Non-residential rental,2000000,0.01,2023,2022-23,0.5,2
NRN,Non-residential rental,Inf,0.02,2023,2022-23,0.5,2
,,,,,,,
RM,Residential Main,225000,0,2024,2023-24,1,1
RM,Residential Main,250000,0.06,2024,2023-24,1,1
RM,Residential Main,400000,0.06,2024,2023-24,1,1
RM,Residential Main,750000,0.075,2024,2023-24,1,1
RM,Residential Main,1500000,0.1,2024,2023-24,1,1
RM,Residential Main,Inf,0.12,2024,2023-24,1,1
RH,Residential Higher,180000,0.04,2024,2023-24,1,1
RH,Residential Higher,250000,0.075,2024,2023-24,1,1
RH,Residential Higher,400000,0.09,2024,2023-24,1,1
RH,Residential Higher,750000,0.115,2024,2023-24,1,1
RH,Residential Higher,1500000,0.14,2024,2023-24,1,1
RH,Residential Higher,Inf,0.16,2024,2023-24,1,1
NRP,Non-residential premium,225000,0,2024,2023-24,1,1
NRP,Non-residential premium,250000,0.01,2024,2023-24,1,1
NRP,Non-residential premium,1000000,0.05,2024,2023-24,1,1
NRP,Non-residential premium,Inf,0.06,2024,2023-24,1,1
NRN,Non-residential rental,225000,0,2024,2023-24,1,1
NRN,Non-residential rental,2000000,0.01,2024,2023-24,1,1
