"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"12226","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",10,"£45,001 to £50,000","V","Property value taxed (£ million)",15,45001,50000,2019
"12061","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",11,"£50,001 to £55,000","C","Number of transactions",290,50001,55000,2019
"12144","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",11,"£50,001 to £55,000","D","Tax due (£ million)",0.5,50001,55000,2019
"12227","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",11,"£50,001 to £55,000","V","Property value taxed (£ million)",16,50001,55000,2019
"12062","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",12,"£55,001 to £60,000","C","Number of transactions",400,55001,60000,2019
"12145","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",12,"£55,001 to £60,000","D","Tax due (£ million)",0.7,55001,60000,2019
"12228","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",12,"£55,001 to £60,000","V","Property value taxed (£ million)",23,55001,60000,2019
"12063","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",13,"£60,001 to £65,000","C","Number of transactions",370,60001,65000,2019
"12146","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",13,"£60,001 to £65,000","D","Tax due (£ million)",0.7,60001,65000,2019
"12229","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",13,"£60,001 to £65,000","V","Property value taxed (£ million)",24,60001,65000,2019
"12064","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",14,"£65,001 to £70,000","C","Number of transactions",390,65001,70000,2019
"12147","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",14,"£65,001 to £70,000","D","Tax due (£ million)",0.8,65001,70000,2019
"12230","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",14,"£65,001 to £70,000","V","Property value taxed (£ million)",26,65001,70000,2019
"12065","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",15,"£70,001 to £75,000","C","Number of transactions",390,70001,75000,2019
"12148","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",15,"£70,001 to £75,000","D","Tax due (£ million)",0.9,70001,75000,2019
"12231","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",15,"£70,001 to £75,000","V","Property value taxed (£ million)",29,70001,75000,2019
"12066","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",16,"£75,001 to £80,000","C","Number of transactions",420,75001,80000,2019
"12149","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",16,"£75,001 to £80,000","D","Tax due (£ million)",1,75001,80000,2019
"12232","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",16,"£75,001 to £80,000","V","Property value taxed (£ million)",33,75001,80000,2019
"12067","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",17,"£80,001 to £85,000","C","Number of transactions",390,80001,85000,2019
"12150","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",17,"£80,001 to £85,000","D","Tax due (£ million)",1,80001,85000,2019
"12233","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",17,"£80,001 to £85,000","V","Property value taxed (£ million)",32,80001,85000,2019
"12068","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",18,"£85,001 to £90,000","C","Number of transactions",370,85001,90000,2019
"12151","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",18,"£85,001 to £90,000","D","Tax due (£ million)",1,85001,90000,2019
"12234","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",18,"£85,001 to £90,000","V","Property value taxed (£ million)",33,85001,90000,2019
"12069","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",19,"£90,001 to £95,000","C","Number of transactions",350,90001,95000,2019
"12152","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",19,"£90,001 to £95,000","D","Tax due (£ million)",1,90001,95000,2019
"12235","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",19,"£90,001 to £95,000","V","Property value taxed (£ million)",33,90001,95000,2019
"12070","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",20,"£95,001 to £100,000","C","Number of transactions",380,95001,1e+05,2019
"12153","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",20,"£95,001 to £100,000","D","Tax due (£ million)",1.1,95001,1e+05,2019
"12236","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",20,"£95,001 to £100,000","V","Property value taxed (£ million)",38,95001,1e+05,2019
"12071","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",21,"£100,001 to £105,000","C","Number of transactions",330,100001,105000,2019
"12154","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",21,"£100,001 to £105,000","D","Tax due (£ million)",1,100001,105000,2019
"12237","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",21,"£100,001 to £105,000","V","Property value taxed (£ million)",34,100001,105000,2019
"12072","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",22,"£105,001 to £110,000","C","Number of transactions",330,105001,110000,2019
"12155","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",22,"£105,001 to £110,000","D","Tax due (£ million)",1.1,105001,110000,2019
"12238","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",22,"£105,001 to £110,000","V","Property value taxed (£ million)",36,105001,110000,2019
"12073","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",23,"£110,001 to £115,000","C","Number of transactions",330,110001,115000,2019
"12156","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",23,"£110,001 to £115,000","D","Tax due (£ million)",1.1,110001,115000,2019
"12239","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",23,"£110,001 to £115,000","V","Property value taxed (£ million)",38,110001,115000,2019
"12074","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",24,"£115,001 to £120,000","C","Number of transactions",380,115001,120000,2019
"12157","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",24,"£115,001 to £120,000","D","Tax due (£ million)",1.3,115001,120000,2019
"12240","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",24,"£115,001 to £120,000","V","Property value taxed (£ million)",45,115001,120000,2019
"12075","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",25,"£120,001 to £125,000","C","Number of transactions",390,120001,125000,2019
"12158","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",25,"£120,001 to £125,000","D","Tax due (£ million)",1.4,120001,125000,2019
"12241","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",25,"£120,001 to £125,000","V","Property value taxed (£ million)",48,120001,125000,2019
"12076","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",26,"£125,001 to £130,000","C","Number of transactions",350,125001,130000,2019
"12159","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",26,"£125,001 to £130,000","D","Tax due (£ million)",1.3,125001,130000,2019
"12242","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",26,"£125,001 to £130,000","V","Property value taxed (£ million)",44,125001,130000,2019
"12077","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",27,"£130,001 to £135,000","C","Number of transactions",290,130001,135000,2019
"12160","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",27,"£130,001 to £135,000","D","Tax due (£ million)",1.1,130001,135000,2019
"12243","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",27,"£130,001 to £135,000","V","Property value taxed (£ million)",38,130001,135000,2019
"12078","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",28,"£135,001 to £140,000","C","Number of transactions",330,135001,140000,2019
"12161","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",28,"£135,001 to £140,000","D","Tax due (£ million)",1.3,135001,140000,2019
"12244","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",28,"£135,001 to £140,000","V","Property value taxed (£ million)",45,135001,140000,2019
"12079","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",29,"£140,001 to £145,000","C","Number of transactions",210,140001,145000,2019
"12162","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",29,"£140,001 to £145,000","D","Tax due (£ million)",0.9,140001,145000,2019
"12245","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",29,"£140,001 to £145,000","V","Property value taxed (£ million)",31,140001,145000,2019
"12080","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",30,"£145,001 to £150,000","C","Number of transactions",310,145001,150000,2019
"12163","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",30,"£145,001 to £150,000","D","Tax due (£ million)",1.4,145001,150000,2019
"12246","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",30,"£145,001 to £150,000","V","Property value taxed (£ million)",46,145001,150000,2019
"12081","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",31,"£150,001 to £155,000","C","Number of transactions",200,150001,155000,2019
"12164","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",31,"£150,001 to £155,000","D","Tax due (£ million)",0.9,150001,155000,2019
"12247","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",31,"£150,001 to £155,000","V","Property value taxed (£ million)",30,150001,155000,2019
"12082","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",32,"£155,001 to £160,000","C","Number of transactions",240,155001,160000,2019
"12165","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",32,"£155,001 to £160,000","D","Tax due (£ million)",1.1,155001,160000,2019
"12248","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",32,"£155,001 to £160,000","V","Property value taxed (£ million)",38,155001,160000,2019
"12083","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",33,"£160,001 to £165,000","C","Number of transactions",210,160001,165000,2019
"12166","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",33,"£160,001 to £165,000","D","Tax due (£ million)",1,160001,165000,2019
"12249","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",33,"£160,001 to £165,000","V","Property value taxed (£ million)",34,160001,165000,2019
"12084","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",34,"£165,001 to £170,000","C","Number of transactions",210,165001,170000,2019
"12167","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",34,"£165,001 to £170,000","D","Tax due (£ million)",1,165001,170000,2019
"12250","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",34,"£165,001 to £170,000","V","Property value taxed (£ million)",35,165001,170000,2019
"12085","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",35,"£170,001 to £175,000","C","Number of transactions",170,170001,175000,2019
"12168","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",35,"£170,001 to £175,000","D","Tax due (£ million)",0.9,170001,175000,2019
"12251","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",35,"£170,001 to £175,000","V","Property value taxed (£ million)",30,170001,175000,2019
"12086","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",36,"£175,001 to £180,000","C","Number of transactions",200,175001,180000,2019
"12169","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",36,"£175,001 to £180,000","D","Tax due (£ million)",1.1,175001,180000,2019
"12252","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",36,"£175,001 to £180,000","V","Property value taxed (£ million)",37,175001,180000,2019
"12087","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",37,"£180,001 to £185,000","C","Number of transactions",140,180001,185000,2019
"12170","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",37,"£180,001 to £185,000","D","Tax due (£ million)",0.8,180001,185000,2019
"12253","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",37,"£180,001 to £185,000","V","Property value taxed (£ million)",25,180001,185000,2019
"12088","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",38,"£185,001 to £190,000","C","Number of transactions",150,185001,190000,2019
"12171","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",38,"£185,001 to £190,000","D","Tax due (£ million)",0.9,185001,190000,2019
"12254","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",38,"£185,001 to £190,000","V","Property value taxed (£ million)",28,185001,190000,2019
"12089","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",39,"£190,001 to £195,000","C","Number of transactions",120,190001,195000,2019
"12172","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",39,"£190,001 to £195,000","D","Tax due (£ million)",0.7,190001,195000,2019
"12255","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",39,"£190,001 to £195,000","V","Property value taxed (£ million)",23,190001,195000,2019
"12090","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",40,"£195,001 to £200,000","C","Number of transactions",130,195001,2e+05,2019
"12173","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",40,"£195,001 to £200,000","D","Tax due (£ million)",0.9,195001,2e+05,2019
"12256","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",40,"£195,001 to £200,000","V","Property value taxed (£ million)",27,195001,2e+05,2019
"12091","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",41,"£200,001 to £205,000","C","Number of transactions",90,200001,205000,2019
"12174","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",41,"£200,001 to £205,000","D","Tax due (£ million)",0.6,200001,205000,2019
"12257","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",41,"£200,001 to £205,000","V","Property value taxed (£ million)",17,200001,205000,2019
"12092","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",42,"£205,001 to £210,000","C","Number of transactions",120,205001,210000,2019
"12175","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",42,"£205,001 to £210,000","D","Tax due (£ million)",0.9,205001,210000,2019
"12258","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",42,"£205,001 to £210,000","V","Property value taxed (£ million)",25,205001,210000,2019
"12093","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",43,"£210,001 to £215,000","C","Number of transactions",90,210001,215000,2019
"12176","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",43,"£210,001 to £215,000","D","Tax due (£ million)",0.6,210001,215000,2019
"12259","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",43,"£210,001 to £215,000","V","Property value taxed (£ million)",18,210001,215000,2019
"12094","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",44,"£215,001 to £220,000","C","Number of transactions",120,215001,220000,2019
"12177","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",44,"£215,001 to £220,000","D","Tax due (£ million)",0.9,215001,220000,2019
"12260","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",44,"£215,001 to £220,000","V","Property value taxed (£ million)",26,215001,220000,2019
"12095","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",45,"£220,001 to £225,000","C","Number of transactions",70,220001,225000,2019
"12178","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",45,"£220,001 to £225,000","D","Tax due (£ million)",0.6,220001,225000,2019
"12261","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",45,"£220,001 to £225,000","V","Property value taxed (£ million)",16,220001,225000,2019
"12096","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",46,"£225,001 to £230,000","C","Number of transactions",100,225001,230000,2019
"12179","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",46,"£225,001 to £230,000","D","Tax due (£ million)",0.8,225001,230000,2019
"12262","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",46,"£225,001 to £230,000","V","Property value taxed (£ million)",23,225001,230000,2019
"12097","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",47,"£230,001 to £235,000","C","Number of transactions",70,230001,235000,2019
"12180","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",47,"£230,001 to £235,000","D","Tax due (£ million)",0.6,230001,235000,2019
"12263","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",47,"£230,001 to £235,000","V","Property value taxed (£ million)",17,230001,235000,2019
"12098","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",48,"£235,001 to £240,000","C","Number of transactions",90,235001,240000,2019
"12181","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",48,"£235,001 to £240,000","D","Tax due (£ million)",0.8,235001,240000,2019
"12264","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",48,"£235,001 to £240,000","V","Property value taxed (£ million)",22,235001,240000,2019
"12099","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",49,"£240,001 to £245,000","C","Number of transactions",80,240001,245000,2019
"12182","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",49,"£240,001 to £245,000","D","Tax due (£ million)",0.7,240001,245000,2019
"12265","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",49,"£240,001 to £245,000","V","Property value taxed (£ million)",18,240001,245000,2019
"12100","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",50,"£245,001 to £250,000","C","Number of transactions",110,245001,250000,2019
"12183","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",50,"£245,001 to £250,000","D","Tax due (£ million)",1,245001,250000,2019
"12266","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",50,"£245,001 to £250,000","V","Property value taxed (£ million)",27,245001,250000,2019
"12101","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",51,"£250,001 to £255,000","C","Number of transactions",40,250001,255000,2019
"12184","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",51,"£250,001 to £255,000","D","Tax due (£ million)",0.4,250001,255000,2019
"12267","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",51,"£250,001 to £255,000","V","Property value taxed (£ million)",10,250001,255000,2019
"12102","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",52,"£255,001 to £260,000","C","Number of transactions",70,255001,260000,2019
"12185","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",52,"£255,001 to £260,000","D","Tax due (£ million)",0.8,255001,260000,2019
"12268","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",52,"£255,001 to £260,000","V","Property value taxed (£ million)",19,255001,260000,2019
"12103","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",53,"£260,001 to £265,000","C","Number of transactions",60,260001,265000,2019
"12186","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",53,"£260,001 to £265,000","D","Tax due (£ million)",0.6,260001,265000,2019
"12269","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",53,"£260,001 to £265,000","V","Property value taxed (£ million)",15,260001,265000,2019
"12104","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",54,"£265,001 to £270,000","C","Number of transactions",70,265001,270000,2019
"12187","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",54,"£265,001 to £270,000","D","Tax due (£ million)",0.8,265001,270000,2019
"12270","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",54,"£265,001 to £270,000","V","Property value taxed (£ million)",19,265001,270000,2019
"12105","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",55,"£270,001 to £275,000","C","Number of transactions",60,270001,275000,2019
"12188","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",55,"£270,001 to £275,000","D","Tax due (£ million)",0.7,270001,275000,2019
"12271","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",55,"£270,001 to £275,000","V","Property value taxed (£ million)",16,270001,275000,2019
"12106","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",56,"£275,001 to £280,000","C","Number of transactions",50,275001,280000,2019
"12189","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",56,"£275,001 to £280,000","D","Tax due (£ million)",0.5,275001,280000,2019
"12272","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",56,"£275,001 to £280,000","V","Property value taxed (£ million)",13,275001,280000,2019
"12107","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",57,"£280,001 to £285,000","C","Number of transactions",60,280001,285000,2019
"12190","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",57,"£280,001 to £285,000","D","Tax due (£ million)",0.7,280001,285000,2019
"12273","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",57,"£280,001 to £285,000","V","Property value taxed (£ million)",16,280001,285000,2019
"12108","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",58,"£285,001 to £290,000","C","Number of transactions",50,285001,290000,2019
"12191","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",58,"£285,001 to £290,000","D","Tax due (£ million)",0.6,285001,290000,2019
"12274","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",58,"£285,001 to £290,000","V","Property value taxed (£ million)",14,285001,290000,2019
"12109","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",59,"£290,001 to £295,000","C","Number of transactions",40,290001,295000,2019
"12192","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",59,"£290,001 to £295,000","D","Tax due (£ million)",0.6,290001,295000,2019
"12275","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",59,"£290,001 to £295,000","V","Property value taxed (£ million)",13,290001,295000,2019
"12110","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",60,"£295,001 to £300,000","C","Number of transactions",50,295001,3e+05,2019
"12193","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",60,"£295,001 to £300,000","D","Tax due (£ million)",0.7,295001,3e+05,2019
"12276","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",60,"£295,001 to £300,000","V","Property value taxed (£ million)",16,295001,3e+05,2019
"12111","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",61,"£300,001 to £305,000","C","Number of transactions",20,300001,305000,2019
"12194","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",61,"£300,001 to £305,000","D","Tax due (£ million)",0.3,300001,305000,2019
"12277","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",61,"£300,001 to £305,000","V","Property value taxed (£ million)",7,300001,305000,2019
"12112","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",62,"£305,001 to £310,000","C","Number of transactions",40,305001,310000,2019
"12195","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",62,"£305,001 to £310,000","D","Tax due (£ million)",0.5,305001,310000,2019
"12278","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",62,"£305,001 to £310,000","V","Property value taxed (£ million)",12,305001,310000,2019
"12113","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",63,"£310,001 to £315,000","C","Number of transactions",30,310001,315000,2019
"12196","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",63,"£310,001 to £315,000","D","Tax due (£ million)",0.5,310001,315000,2019
"12279","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",63,"£310,001 to £315,000","V","Property value taxed (£ million)",11,310001,315000,2019
"12114","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",64,"£315,001 to £320,000","C","Number of transactions",50,315001,320000,2019
"12197","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",64,"£315,001 to £320,000","D","Tax due (£ million)",0.7,315001,320000,2019
"12280","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",64,"£315,001 to £320,000","V","Property value taxed (£ million)",15,315001,320000,2019
"12115","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",65,"£320,001 to £325,000","C","Number of transactions",40,320001,325000,2019
"12198","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",65,"£320,001 to £325,000","D","Tax due (£ million)",0.6,320001,325000,2019
"12281","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",65,"£320,001 to £325,000","V","Property value taxed (£ million)",11,320001,325000,2019
"12116","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",66,"£325,001 to £330,000","C","Number of transactions",20,325001,330000,2019
"12199","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",66,"£325,001 to £330,000","D","Tax due (£ million)",0.4,325001,330000,2019
"12282","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",66,"£325,001 to £330,000","V","Property value taxed (£ million)",8,325001,330000,2019
"12117","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",67,"£330,001 to £335,000","C","Number of transactions",20,330001,335000,2019
"12200","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",67,"£330,001 to £335,000","D","Tax due (£ million)",0.4,330001,335000,2019
"12283","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",67,"£330,001 to £335,000","V","Property value taxed (£ million)",8,330001,335000,2019
"12118","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",68,"£335,001 to £340,000","C","Number of transactions",20,335001,340000,2019
"12201","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",68,"£335,001 to £340,000","D","Tax due (£ million)",0.3,335001,340000,2019
"12284","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",68,"£335,001 to £340,000","V","Property value taxed (£ million)",7,335001,340000,2019
"12119","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",69,"£340,001 to £345,000","C","Number of transactions",30,340001,345000,2019
"12202","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",69,"£340,001 to £345,000","D","Tax due (£ million)",0.5,340001,345000,2019
"12285","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",69,"£340,001 to £345,000","V","Property value taxed (£ million)",11,340001,345000,2019
"12120","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",70,"£345,001 to £350,000","C","Number of transactions",30,345001,350000,2019
"12203","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",70,"£345,001 to £350,000","D","Tax due (£ million)",0.5,345001,350000,2019
"12286","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",70,"£345,001 to £350,000","V","Property value taxed (£ million)",11,345001,350000,2019
"12121","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",72,"£350,001 to £360,000","C","Number of transactions",40,350001,360000,2019
"12204","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",72,"£350,001 to £360,000","D","Tax due (£ million)",0.8,350001,360000,2019
"12287","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",72,"£350,001 to £360,000","V","Property value taxed (£ million)",15,350001,360000,2019
"12122","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",74,"£360,001 to £370,000","C","Number of transactions",50,360001,370000,2019
"12205","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",74,"£360,001 to £370,000","D","Tax due (£ million)",1,360001,370000,2019
"12288","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",74,"£360,001 to £370,000","V","Property value taxed (£ million)",18,360001,370000,2019
"12123","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",76,"£370,001 to £380,000","C","Number of transactions",40,370001,380000,2019
"12206","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",76,"£370,001 to £380,000","D","Tax due (£ million)",0.8,370001,380000,2019
"12289","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",76,"£370,001 to £380,000","V","Property value taxed (£ million)",15,370001,380000,2019
"12124","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",78,"£380,001 to £390,000","C","Number of transactions",30,380001,390000,2019
"12207","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",78,"£380,001 to £390,000","D","Tax due (£ million)",0.5,380001,390000,2019
"12290","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",78,"£380,001 to £390,000","V","Property value taxed (£ million)",10,380001,390000,2019
"12125","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",80,"£390,001 to £400,000","C","Number of transactions",40,390001,4e+05,2019
"12208","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",80,"£390,001 to £400,000","D","Tax due (£ million)",0.8,390001,4e+05,2019
"12291","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",80,"£390,001 to £400,000","V","Property value taxed (£ million)",16,390001,4e+05,2019
"12126","YE20190331","Year ending 31 March 2019","RH","Higher rates residential",81,"£400,001 to £425,000","C","Number of transactions",60,400001,425000,2019
