"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"12663","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",12,"£400,001 to £500,000","D","Tax due (£ million)",0.2,400001,5e+05,2019
"12680","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",12,"£400,001 to £500,000","N","Rental value taxed (£ million)",36,400001,5e+05,2019
"12647","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",13,"£500,001 to £750,000","C","Number of transactions",130,500001,750000,2019
"12664","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",13,"£500,001 to £750,000","D","Tax due (£ million)",0.5,500001,750000,2019
"12681","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",13,"£500,001 to £750,000","N","Rental value taxed (£ million)",80,500001,750000,2019
"12648","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",14,"£750,001 to £1,000,000","C","Number of transactions",60,750001,1e+06,2019
"12665","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",14,"£750,001 to £1,000,000","D","Tax due (£ million)",0.4,750001,1e+06,2019
"12682","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",14,"£750,001 to £1,000,000","N","Rental value taxed (£ million)",51,750001,1e+06,2019
"12649","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",15,"£1,000,001 to £2,000,000","C","Number of transactions",90,1000001,2e+06,2019
"12666","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",15,"£1,000,001 to £2,000,000","D","Tax due (£ million)",1,1000001,2e+06,2019
"12683","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",15,"£1,000,001 to £2,000,000","N","Rental value taxed (£ million)",131,1000001,2e+06,2019
"12650","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",16,"£2,000,001 and over","C","Number of transactions",90,2000001,NA,2019
"12667","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",16,"£2,000,001 and over","D","Tax due (£ million)",7.9,2000001,NA,2019
"12684","YE20190331","Year ending 31 March 2019","NRN","Non-residential: rental element",16,"£2,000,001 and over","N","Rental value taxed (£ million)",803,2000001,NA,2019
"12550","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",0,"£0","C","Number of transactions",1630,0,0,2019
"12578","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",0,"£0","D","Tax due (£ million)",NA,0,0,2019
"12606","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",0,"£0","V","Property value taxed (£ million)",0,0,0,2019
"12551","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",1,"£1 to £25,000","C","Number of transactions",300,1,25000,2019
"12579","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",1,"£1 to £25,000","D","Tax due (£ million)",NA,1,25000,2019
"12607","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",1,"£1 to £25,000","V","Property value taxed (£ million)",3,1,25000,2019
"12552","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",2,"£25,001 to £50,000","C","Number of transactions",390,25001,50000,2019
"12580","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",2,"£25,001 to £50,000","D","Tax due (£ million)",NA,25001,50000,2019
"12608","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",2,"£25,001 to £50,000","V","Property value taxed (£ million)",17,25001,50000,2019
"12553","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",3,"£50,001 to £75,000","C","Number of transactions",550,50001,75000,2019
"12581","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",3,"£50,001 to £75,000","D","Tax due (£ million)",0.025,50001,75000,2019
"12609","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",3,"£50,001 to £75,000","V","Property value taxed (£ million)",35,50001,75000,2019
"12554","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",4,"£75,001 to £100,000","C","Number of transactions",450,75001,1e+05,2019
"12582","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",4,"£75,001 to £100,000","D","Tax due (£ million)",NA,75001,1e+05,2019
"12610","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",4,"£75,001 to £100,000","V","Property value taxed (£ million)",40,75001,1e+05,2019
"12555","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",5,"£100,001 to £125,000","C","Number of transactions",320,100001,125000,2019
"12583","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",5,"£100,001 to £125,000","D","Tax due (£ million)",0.025,100001,125000,2019
"12611","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",5,"£100,001 to £125,000","V","Property value taxed (£ million)",37,100001,125000,2019
"12556","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",6,"£125,001 to £150,000","C","Number of transactions",330,125001,150000,2019
"12584","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",6,"£125,001 to £150,000","D","Tax due (£ million)",0.025,125001,150000,2019
"12612","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",6,"£125,001 to £150,000","V","Property value taxed (£ million)",46,125001,150000,2019
"12557","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",7,"£150,001 to £175,000","C","Number of transactions",200,150001,175000,2019
"12585","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",7,"£150,001 to £175,000","D","Tax due (£ million)",0.025,150001,175000,2019
"12613","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",7,"£150,001 to £175,000","V","Property value taxed (£ million)",33,150001,175000,2019
"12558","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",8,"£175,001 to £200,000","C","Number of transactions",230,175001,2e+05,2019
"12586","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",8,"£175,001 to £200,000","D","Tax due (£ million)",0.1,175001,2e+05,2019
